review_row_id,code_id,ayush_name,english_name,category,icd10_codes,common_symptoms,dosha_involvement,mapping_confidence,expert_status,expert_comments
MR-001,AYM_001,Vibandha,Constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-002,AYM_002,Amlapitta,Hyperacidity/GERD,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-003,AYM_003,Atisara,Diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-004,AYM_004,Grahani,Malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-005,AYM_005,Vataja Vibandha,Vata-dominant constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-006,AYM_006,Vataja Amlapitta,Vata-dominant hyperacidity/gerd,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-007,AYM_007,Vataja Atisara,Vata-dominant diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-008,AYM_008,Vataja Grahani,Vata-dominant malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-009,AYM_009,Pittaja Vibandha,Pitta-dominant constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-010,AYM_010,Pittaja Amlapitta,Pitta-dominant hyperacidity/gerd,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-011,AYM_011,Pittaja Atisara,Pitta-dominant diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-012,AYM_012,Pittaja Grahani,Pitta-dominant malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-013,AYM_013,Kaphaja Vibandha,Kapha-dominant constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-014,AYM_014,Kaphaja Amlapitta,Kapha-dominant hyperacidity/gerd,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-015,AYM_015,Kaphaja Atisara,Kapha-dominant diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-016,AYM_016,Kaphaja Grahani,Kapha-dominant malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-017,AYM_017,Sannipataja Vibandha,Mixed-dosha constipation,Digestive,K59.0,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-018,AYM_018,Sannipataja Amlapitta,Mixed-dosha hyperacidity/gerd,Digestive,K21,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-019,AYM_019,Sannipataja Atisara,Mixed-dosha diarrhea,Digestive,A09,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-020,AYM_020,Sannipataja Grahani,Mixed-dosha malabsorption syndrome,Digestive,K90,Abdominal discomfort; Altered bowel habits; Appetite disturbance,"Vata, Pitta",Prototype,Pending,
MR-021,AYM_021,Sandhivata,Osteoarthritis,Musculoskeletal,"M15, M19",Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-022,AYM_022,Amavata,Rheumatoid pattern arthritis,Musculoskeletal,M06,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-023,AYM_023,Katigraha,Low back pain,Musculoskeletal,M54.5,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-024,AYM_024,Gridhrasi,Sciatica,Musculoskeletal,M54.3,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-025,AYM_025,Vataja Sandhivata,Vata-dominant osteoarthritis,Musculoskeletal,"M15, M19",Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-026,AYM_026,Vataja Amavata,Vata-dominant rheumatoid pattern arthritis,Musculoskeletal,M06,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-027,AYM_027,Vataja Katigraha,Vata-dominant low back pain,Musculoskeletal,M54.5,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-028,AYM_028,Vataja Gridhrasi,Vata-dominant sciatica,Musculoskeletal,M54.3,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-029,AYM_029,Pittaja Sandhivata,Pitta-dominant osteoarthritis,Musculoskeletal,"M15, M19",Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-030,AYM_030,Pittaja Amavata,Pitta-dominant rheumatoid pattern arthritis,Musculoskeletal,M06,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-031,AYM_031,Pittaja Katigraha,Pitta-dominant low back pain,Musculoskeletal,M54.5,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-032,AYM_032,Pittaja Gridhrasi,Pitta-dominant sciatica,Musculoskeletal,M54.3,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-033,AYM_033,Kaphaja Sandhivata,Kapha-dominant osteoarthritis,Musculoskeletal,"M15, M19",Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-034,AYM_034,Kaphaja Amavata,Kapha-dominant rheumatoid pattern arthritis,Musculoskeletal,M06,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-035,AYM_035,Kaphaja Katigraha,Kapha-dominant low back pain,Musculoskeletal,M54.5,Joint pain or stiffness; Movement limitation; Localized inflammation,"Vata, Kapha",Prototype,Pending,
MR-036,AYM_036,Prameha,Diabetes mellitus,Metabolic,E11,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-037,AYM_037,Sthaulya,Obesity,Metabolic,E66,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-038,AYM_038,Raktachapa,Hypertension,Metabolic,I10,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-039,AYM_039,Medoroga,Lipid metabolism disorder,Metabolic,E78,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-040,AYM_040,Vataja Prameha,Vata-dominant diabetes mellitus,Metabolic,E11,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-041,AYM_041,Vataja Sthaulya,Vata-dominant obesity,Metabolic,E66,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-042,AYM_042,Vataja Raktachapa,Vata-dominant hypertension,Metabolic,I10,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-043,AYM_043,Vataja Medoroga,Vata-dominant lipid metabolism disorder,Metabolic,E78,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-044,AYM_044,Pittaja Prameha,Pitta-dominant diabetes mellitus,Metabolic,E11,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-045,AYM_045,Pittaja Sthaulya,Pitta-dominant obesity,Metabolic,E66,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-046,AYM_046,Pittaja Raktachapa,Pitta-dominant hypertension,Metabolic,I10,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-047,AYM_047,Pittaja Medoroga,Pitta-dominant lipid metabolism disorder,Metabolic,E78,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-048,AYM_048,Kaphaja Prameha,Kapha-dominant diabetes mellitus,Metabolic,E11,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-049,AYM_049,Kaphaja Sthaulya,Kapha-dominant obesity,Metabolic,E66,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-050,AYM_050,Kaphaja Raktachapa,Kapha-dominant hypertension,Metabolic,I10,Weight/metabolic imbalance; Polyuria or fatigue; Systemic metabolic symptoms,"Kapha, Pitta",Prototype,Pending,
MR-051,AYM_061,Ashmari,Urinary calculi,Urinary,N20,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-052,AYM_062,Mutrakricchra,Dysuria,Urinary,R30,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-053,AYM_063,Mutraghata,Urinary retention,Urinary,R33,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-054,AYM_064,Mootradaha,Urinary burning,Urinary,R30.0,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-055,AYM_065,Vataja Ashmari,Vata-dominant urinary calculi,Urinary,N20,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-056,AYM_066,Vataja Mutrakricchra,Vata-dominant dysuria,Urinary,R30,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-057,AYM_067,Vataja Mutraghata,Vata-dominant urinary retention,Urinary,R33,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-058,AYM_068,Vataja Mootradaha,Vata-dominant urinary burning,Urinary,R30.0,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-059,AYM_069,Pittaja Ashmari,Pitta-dominant urinary calculi,Urinary,N20,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-060,AYM_070,Pittaja Mutrakricchra,Pitta-dominant dysuria,Urinary,R30,Urinary discomfort; Frequency or retention issues; Lower urinary tract symptoms,"Pitta, Vata",Prototype,Pending,
MR-061,AYM_092,Jwara,Fever,Fever/Infection,R50,Febrile episodes; Systemic malaise; Infective symptom complex,"Pitta, Vata",Prototype,Pending,
MR-062,AYM_093,Vishamajwara,Intermittent fever,Fever/Infection,A68,Febrile episodes; Systemic malaise; Infective symptom complex,"Pitta, Vata",Prototype,Pending,
MR-063,AYM_094,Aamajwara,Toxic febrile syndrome,Fever/Infection,R50,Febrile episodes; Systemic malaise; Infective symptom complex,"Pitta, Vata",Prototype,Pending,
MR-064,AYM_095,Aupasargika Roga,Infectious disease syndrome,Fever/Infection,B99,Febrile episodes; Systemic malaise; Infective symptom complex,"Pitta, Vata",Prototype,Pending,
MR-065,AYM_096,Vataja Jwara,Vata-dominant fever,Fever/Infection,R50,Febrile episodes; Systemic malaise; Infective symptom complex,"Pitta, Vata",Prototype,Pending,
MR-066,AYM_097,Vataja Vishamajwara,Vata-dominant intermittent fever,Fever/Infection,A68,Febrile episodes; Systemic malaise; Infective symptom complex,"Pitta, Vata",Prototype,Pending,
MR-067,AYM_098,Vataja Aamajwara,Vata-dominant toxic febrile syndrome,Fever/Infection,R50,Febrile episodes; Systemic malaise; Infective symptom complex,"Pitta, Vata",Prototype,Pending,
MR-068,AYM_099,Vataja Aupasargika Roga,Vata-dominant infectious disease syndrome,Fever/Infection,B99,Febrile episodes; Systemic malaise; Infective symptom complex,"Pitta, Vata",Prototype,Pending,
